param,min,max,type,is.int

shortscale,0.04,NA,fixed,FALSE

shortshape,1,NA,fixed,FALSE

sz,1,NA,fixed,FALSE

nloci,1000,NA,fixed,FALSE

seq_length,80,NA,fixed,FALSE

mu,1.00E-07,NA,fixed,FALSE

G,30,NA,fixed,FALSE

longmean,0.4,NA,fixed,FALSE

lambda,1.01,1.25,uniform,FALSE

mix,0.001,0.01,uniform,FALSE

Ne,400,10000,uniform,TRUE

preLGM_t,100000,150000,uniform,TRUE

preLGM_Ne,10000,100000,uniform,TRUE

found_Ne,10,500,uniform,TRUE

ref_Ne,100,Ne,conditional,TRUE
