param,min,max,type,is.int
refs,540,NA,fixed,FALSE
shortscale,0.04,NA,fixed,FALSE
shortshape,1,NA,fixed,FALSE
sz,1,NA,fixed,FALSE
nloci,1000,NA,fixed,FALSE
seq_length,80,NA,fixed,FALSE
mu,1.00E-08,NA,fixed,FALSE
G,30,NA,fixed,FALSE
longmean,0.4,NA,fixed,FALSE
mix,0.001,0.01,uniform,FALSE
Ne,400,2500,uniform,TRUE
preLGM_t,100000,150000,uniform,TRUE
preLGM_Ne,10000,100000,uniform,TRUE
found_Ne,10,50,uniform,TRUE
ref_Ne,100,Ne,conditional,TRUE
use.hab_suit,0,1,logical,FALSE
